AIRLINE,AIRLINE_NAME,TOTAL_FLIGHTS,AVG_ARRIVAL_DELAY,AVG_DEPARTURE_DELAY,DELAY_RATE_PCT,AVG_AIRLINE_DELAY,AVG_WEATHER_DELAY,AVG_AIR_SYSTEM_DELAY,AVG_LATE_AIRCRAFT_DELAY
NK,Spirit Air Lines,115193,14.47,15.88,28.79,13.77,1.29,27.51,20.49
F9,Frontier Airlines Inc.,90090,12.5,13.3,25.36,14.72,0.92,24.66,26.9
B6,JetBlue Airways,262042,6.68,11.44,21.85,18.15,1.96,16.75,23.95
MQ,American Eagle Airlines Inc.,278791,6.46,9.97,21.03,17.43,6.64,15.37,23.4
UA,United Air Lines Inc.,507762,5.43,14.33,19.95,21.14,3.1,14.42,26.02
EV,Atlantic Southeast Airlines,554752,6.59,8.62,18.99,21.65,1.55,15.46,24.08
VX,Virgin America,61248,4.74,8.99,18.53,11.1,2.99,20.36,21.69
WN,Southwest Airlines Co.,1242403,4.37,10.52,18.3,16.19,2.3,7.05,26.68
OO,Skywest Airlines Inc.,576814,5.85,7.74,18.0,18.96,2.32,12.38,26.61
US,US Airways Inc.,194223,3.71,6.08,17.98,17.41,1.93,16.47,14.31
AA,American Airlines Inc.,712935,3.45,8.83,17.57,21.14,3.59,13.51,21.75
DL,Delta Air Lines Inc.,870275,0.19,7.31,13.0,22.94,5.11,15.08,18.1
AS,Alaska Airlines Inc.,171439,-0.98,1.72,12.34,15.54,1.74,13.49,17.06
HA,Hawaiian Airlines Inc.,76041,2.02,0.47,10.53,22.79,1.33,0.72,14.7
